受注番号,明細番号,受注日,顧客コード,顧客名,顧客所在地,拠点,部署,営業担当者,品名,品名カテゴリ,数量,定価,値引率,販売単価,販売金額,原価単価,原価,粗利
SO20220104-C0004,1,2022-01-04,C0004,D株式会社,神奈川県,東京本社,営業1部,田中,ノートPC_高性能モデル,PC,12,300000,0.0905,272840,3274080,240000,2880000,394080
SO20220104-C0019,1,2022-01-04,C0019,S株式会社,神奈川県,東京本社,営業1部,田中,ノートPC_軽量モデル,PC,12,200000,0.13,174000,2088000,164000,1968000,120000
SO20220104-C0023,1,2022-01-04,C0023,W株式会社,茨城県,東京本社,営業2部,中村,ノートPC_軽量モデル,PC,13,200000,0.0767,184670,2400710,164000,2132000,268710
SO20220104-C0031,1,2022-01-04,C0031,E1株式会社,東京都,東京本社,営業1部,佐藤,ノートPC_軽量モデル,PC,12,200000,0.1116,177680,2132160,164000,1968000,164160
SO20220104-C0031,2,2022-01-04,C0031,E1株式会社,東京都,東京本社,営業1部,佐藤,ノートPC_標準モデル,PC,8,150000,0.0552,141730,1133840,126000,1008000,125840
SO20220104-C0031,3,2022-01-04,C0031,E1株式会社,東京都,東京本社,営業1部,佐藤,ワークステーション,PC,8,500000,0.1237,438160,3505280,390000,3120000,385280
SO20220104-C0034,1,2022-01-04,C0034,H1株式会社,神奈川県,東京本社,営業1部,田中,ノートPC_標準モデル,PC,16,150000,0.0561,141590,2265440,126000,2016000,249440
SO20220104-C0037,1,2022-01-04,C0037,K1株式会社,神奈川県,東京本社,営業2部,山本,CADソフト,ソフトウェア,5,400000,0.102,359200,1796000,168000,840000,956000
SO20220104-C0037,2,2022-01-04,C0037,K1株式会社,神奈川県,東京本社,営業2部,山本,セキュリティソフト,ソフトウェア,17,8000,0.1085,7130,121210,4000,68000,53210
SO20220104-C0037,3,2022-01-04,C0037,K1株式会社,神奈川県,東京本社,営業2部,山本,ノートPC_高性能モデル,PC,3,300000,0.0714,278570,835710,240000,720000,115710
SO20220104-C0044,1,2022-01-04,C0044,R1株式会社,千葉県,東京本社,ソリューション営業部,松本,セキュリティソフト,ソフトウェア,56,8000,0.1817,6550,366800,4000,224000,142800
SO20220104-C0062,1,2022-01-04,C0062,J2株式会社,東京都,東京本社,営業1部,鈴木,デスクトップPC_標準モデル,PC,22,120000,0.0767,110790,2437380,102000,2244000,193380
SO20220104-C0071,1,2022-01-04,C0071,S2株式会社,東京都,東京本社,ソリューション営業部,吉田,CADソフト,ソフトウェア,7,400000,0.1285,348590,2440130,168000,1176000,1264130
SO20220104-C0071,2,2022-01-04,C0071,S2株式会社,東京都,東京本社,ソリューション営業部,吉田,会計ソフト,ソフトウェア,2,180000,0.1249,157510,315020,81000,162000,153020
SO20220104-C0072,1,2022-01-04,C0072,T2株式会社,埼玉県,東京本社,ソリューション営業部,山田,オフィススイート,ソフトウェア,14,50000,0.151,42450,594300,27500,385000,209300
SO20220104-C0082,1,2022-01-04,C0082,D3株式会社,東京都,東京本社,営業2部,山本,オフィススイート,ソフトウェア,46,50000,0.1711,41440,1906240,27500,1265000,641240
SO20220104-C0082,2,2022-01-04,C0082,D3株式会社,東京都,東京本社,営業2部,山本,セキュリティソフト,ソフトウェア,77,8000,0.1545,6760,520520,4000,308000,212520
SO20220104-C0082,3,2022-01-04,C0082,D3株式会社,東京都,東京本社,営業2部,山本,業務管理ソフト,ソフトウェア,18,250000,0.1789,205270,3694860,100000,1800000,1894860
SO20220104-C0108,1,2022-01-04,C0108,D4株式会社,群馬県,東京本社,営業1部,高橋,ワークステーション,PC,2,500000,0.0752,462390,924780,390000,780000,144780
SO20220104-C0108,2,2022-01-04,C0108,D4株式会社,群馬県,東京本社,営業1部,高橋,CADソフト,ソフトウェア,3,400000,0.2049,318030,954090,168000,504000,450090
SO20220104-C0108,3,2022-01-04,C0108,D4株式会社,群馬県,東京本社,営業1部,高橋,セキュリティソフト,ソフトウェア,28,8000,0.2102,6320,176960,4000,112000,64960
SO20220104-C0121,1,2022-01-04,C0121,Q4株式会社,神奈川県,東京本社,営業1部,佐藤,ノートPC_標準モデル,PC,23,150000,0.0773,138410,3183430,126000,2898000,285430
SO20220104-C0121,2,2022-01-04,C0121,Q4株式会社,神奈川県,東京本社,営業1部,佐藤,ノートPC_高性能モデル,PC,11,300000,0.0793,276220,3038420,240000,2640000,398420
SO20220104-C0126,1,2022-01-04,C0126,V4株式会社,東京都,東京本社,営業2部,渡辺,デスクトップPC_標準モデル,PC,10,120000,0.0303,116360,1163600,102000,1020000,143600
SO20220104-C0126,2,2022-01-04,C0126,V4株式会社,東京都,東京本社,営業2部,渡辺,ノートPC_高性能モデル,PC,17,300000,0.0899,273020,4641340,240000,4080000,561340
SO20220104-C0126,3,2022-01-04,C0126,V4株式会社,東京都,東京本社,営業2部,渡辺,セキュリティソフト,ソフトウェア,23,8000,0.1448,6840,157320,4000,92000,65320
